Name	Brain	Body
Theropithecus_gelada	2.11	3.887054378
Trachypithecus_francoisi	1.97	3.959041392
Varecia_variegata	1.49	3.432247538
Acomys_wilsoni	-0.24	1.267171728
Aeromys_tephromelas	1.01	3.075181855
Aethomys_chrysophilus	0.1	2.068185862
Aethomys_hindei	0.15	2.165244326
Allactaga_sibirica	0.54	2.285557309
Ammospermophilus_harrisii	0.35	2.142389466
Ammospermophilus_leucurus	0.37	2.02489596
Ammospermophilus_nelsoni	0.36	1.84509804
Aplodontia_rufa	0.85	2.906335042
Apodemus_agrarius	-0.7	1.522444234
Apodemus_flavicollis	-0.15	1.509202522
Apodemus_sylvaticus	-0.23	1.303196057
Arvicanthis_niloticus	0.12	1.926856709
Atherurus_africanus	1.34	3.498655095
Bathyergus_suillus	0.57	3.070037867
Beamys_hindei	0.05	1.953034457
Callosciurus_caniceps	0.78	2.380211242
Callosciurus_nigrovittatus	0.65	2.305351369
Callosciurus_notatus	0.69	2.321184027
Callosciurus_prevostii	0.81	2.64246452
Castor_canadensis	1.72	4.442009159
Cavia_aperea	0.61	2.486359626
Cavia_porcellus	0.68	2.677606953
Chaetodipus_baileyi	-0.15	1.47348697
Chaetodipus_californicus	-0.21	1.414973348
Chaetodipus_fallax	-0.27	1.307496038
Chaetodipus_formosus	-0.31	1.257678575
Chaetodipus_hispidus	-0.17	1.56937391
Chaetodipus_penicillatus	-0.33	1.210853365
Chaetodipus_spinatus	-0.32	1.281033367
Chiropodomys_gliroides	-0.15	1.403120521
Cricetomys_gambianus	0.82	3.06069784
Cricetus_cricetus	0.34	2.472756449
Cryptomys_hottentotus	0.07	1.992995098
Cynomys_gunnisoni	0.71	2.901076716
Cynomys_leucurus	0.76	2.99655545
Cynomys_ludovicianus	0.78	2.899546931
Dasyprocta_leporina	1.33	3.458335626
Dasyprocta_punctata	1.26	3.501333179
Dicrostonyx_groenlandicus	-0.14	1.835056102
Dicrostonyx_torquatus	-0.08	1.86332286
Dinomys_branickii	1.43	4.146128036
Dipodomys_agilis	0.13	1.788168371
Dipodomys_deserti	0.24	2.087958789
Dipodomys_heermanni	0.16	1.81723473
Dipodomys_merriami	0.04	1.595496222
Dipodomys_microps	0.09	1.797959644
Dipodomys_ordii	0.16	1.756636108
Dipodomys_panamintinus	0.2	1.86923172
Dipodomys_spectabilis	0.28	2.160018096
Dolichotis_patagonum	1.48	3.903089987
Dremomys_rufigenis	0.73	2.380211242
Erethizon_dorsatum	1.39	3.732152418
Funambulus_pennantii	0.32	1.933993164
Funisciurus_anerythrus	0.62	2.338456494
Funisciurus_carruthersi	0.65	2.428134794
Funisciurus_pyrropus	0.64	2.301029996
Galea_musteloides	0.43	2.574031268
Geocapromys_ingrahami	0.65	2.855700831
Geomys_bursarius	0.26	2.295017012
Geomys_pinetis	0.4	2.496237545
Gerbillurus_paeba	-0.08	1.380211242
Gerbillus_gleadowi	-0.16	1.416640507
Gerbillus_nanus	-0.22	1.146128036
Gerbillus_pyramidum	-0.06	1.611723308
Glaucomys_sabrinus	0.48	2.240549248
Glaucomys_volans	0.23	1.863917377
Grammomys_cometes	-0.02	1.609594409
Heliophobius_argenteocinereus	0.16	2.204119983
Heliosciurus_gambianus	0.6	2.469822016
Heliosciurus_rufobrachium	0.76	2.5132176
Heliosciurus_ruwenzorii	0.73	2.463892989
Heterocephalus_glaber	-0.28	1.783903579
Heteromys_desmarestianus	0.05	1.873029812
Holochilus_sciureus	0.15	2.050379756
Hoplomys_gymnurus	0.62	2.51851394
Hybomys_trivirgatus	0.04	1.759667845
Hydromys_chrysogaster	0.64	2.843855423
Hylopetes_spadiceus	0.27	1.942008053
Iomys_horsfieldii	0.53	2.191730393
Isthmomys_pirrensis	0.23	2.139879086
Jaculus_jaculus	0.18	1.807535028
Jaculus_orientalis	0.4	1.991226076
Lagidium_viscacia	1.18	3.391023369
Lagostomus_maximus	1.1	3.63050415
Lagurus_lagurus	-0.38	1.303196057
Lemmus_lemmus	-0.07	1.838219222
Lemniscomys_striatus	-0.07	1.664641976
Leopoldamys_siporanus	0.53	2.522052801
Liomys_irroratus	0.02	1.761175813
Liomys_pictus	-0.11	1.636989102
Liomys_salvini	-0.11	1.652246341
Lophuromys_flavopunctatus	0	1.77815125
Lophuromys_sikapusi	0.05	1.783188691
Malacomys_edwardsi	0.07	1.77815125
Marmota_flaviventris	1.01	3.698970004
Marmota_monax	1.03	3.559278059
Marmota_sibirica	1.26	3.276461804
Massoutiera_mzabi	0.37	2.261500773
Megadontomys_thomasi	0.1	2.045322979
Melomys_cervinipes	0.12	1.84509804
Melomys_rufescens	0.11	1.737987326
Meriones_hurrianae	-0.01	1.85308953
Meriones_unguiculatus	0.05	1.758911892
Mesembriomys_gouldii	0.66	3.045322979
Microdipodops_megacephalus	-0.25	1.141449773
Microdipodops_pallidus	-0.26	1.11058971
Micromys_minutus	-0.54	0.806179974
Microtus_agrestis	-0.13	1.51054501
Microtus_arvalis	-0.26	1.482873584
Microtus_californicus	-0.11	1.636487896
Microtus_guentheri	-0.16	1.710117365
Microtus_longicaudus	-0.15	1.675778342
Microtus_montanus	-0.16	1.598790507
Microtus_ochrogaster	-0.15	1.641474111
Microtus_oregoni	-0.28	1.342422681
Microtus_pinetorum	-0.25	1.396199347
Microtus_townsendii	-0.06	1.660865478
Mus_booduga	-0.51	1.164352856
